Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date,14th Rotation Planting Name,14th Rotation Crop,14th Rotation Start Date,14th Rotation End Date,15th Rotation Planting Name,15th Rotation Crop,15th Rotation Start Date,15th Rotation End Date,16th Rotation Planting Name,16th Rotation Crop,16th Rotation Start Date,16th Rotation End Date,17th Rotation Planting Name,17th Rotation Crop,17th Rotation Start Date,17th Rotation End Date,18th Rotation Planting Name,18th Rotation Crop,18th Rotation Start Date,18th Rotation End Date,19th Rotation Planting Name,19th Rotation Crop,19th Rotation Start Date,19th Rotation End Date,20th Rotation Planting Name,20th Rotation Crop,20th Rotation Start Date,20th Rotation End Date,21st Rotation Planting Name,21st Rotation Crop,21st Rotation Start Date,21st Rotation End Date,22nd Rotation Planting Name,22nd Rotation Crop,22nd Rotation Start Date,22nd Rotation End Date,23rd Rotation Planting Name,23rd Rotation Crop,23rd Rotation Start Date,23rd Rotation End Date,24th Rotation Planting Name,24th Rotation Crop,24th Rotation Start Date,24th Rotation End Date,25th Rotation Planting Name,25th Rotation Crop,25th Rotation Start Date,25th Rotation End Date,26th Rotation Planting Name,26th Rotation Crop,26th Rotation Start Date,26th Rotation End Date,27th Rotation Planting Name,27th Rotation Crop,27th Rotation Start Date,27th Rotation End Date
The Back Field,MCB,,FLW,3,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,4,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,5,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,6,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,FLW,7,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,8,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,9,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,10,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,11,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,12,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,MCB,,GRN,13,80 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,PipSqueak Patch,,,1,40 ft,"Pumpkins, Small, Generic Variety",Pumpkins,06/27/2020,11/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Racer Patch,,,1,40 ft,"Pumpkins, Medium, Racer",Pumpkins,06/27/2020,10/18/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,1,200 ft,"Sunflower, Branching, Autumn Beauty Mix, Full-Size",Sunflower,04/24/2020,09/17/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,2,200 ft,"Sunflower, Branching, Autumn Beauty Mix, Full-Size",Sunflower,05/01/2020,09/24/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Back Field,Sunflower Fields,,,3,200 ft,"Sunflower, Branching, Autumn Beauty Mix, Full-Size",Sunflower,05/08/2020,10/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House,Situation,,FLR,1,500 ft,"Cosmos, Cosmos, Rubenza",Cosmos,04/30/2020,09/02/2020,"Cosmos, Cosmos, Apricot Lemonade",Cosmos,04/30/2020,09/02/2020,"Cosmos, Cosmos, Double Click Bicolor Pink",Cosmos,04/12/2020,08/12/2020,"Cosmos, Cosmos, Double Click Snow Puff",Cosmos,04/12/2020,08/12/2020,"Cosmos, Cosmos, Cupcake Blush",Cosmos,04/12/2020,08/12/2020,"Cosmos, Cosmos, Double Click Mix",Cosmos,04/30/2020,09/02/2020,"Dahlias, Mid Blooming, Giant Hybrid Mix (seed)",Dahlias,04/12/2020,09/06/2020,"Zinnias, Zinnias, Benary's Giant Salmon Rose",Zinnias,04/12/2020,09/05/2020,"Zinnias, Zinnias, Queen Lime with Blush",Zinnias,04/12/2020,09/05/2020,"Craspedia (Drumstick Flower), Craspedia (Drumstick Flower), Sun Ball",Craspedia (Drumstick Flower),04/12/2020,10/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White House,Situation,,GRN,2,500 ft,"Amaranthus, Amaranthus, Hot Biscuits",Amaranthus,04/25/2020,07/26/2020,"Amaranthus, Amaranthus, Green Tails",Amaranthus,04/25/2020,07/26/2020,"Larkspur, Larkspur, White Cloud",Larkspur,04/24/2020,10/05/2020,"Mignonette, Mignonette, Mignonette Standard",Mignonette,04/13/2020,07/01/2020,"Mignonette, Mignonette, Mignonette Standard",Mignonette,05/05/2020,07/23/2020,"Mignonette, Mignonette, White Mignonette",Mignonette,04/13/2020,07/01/2020,"Mignonette, Mignonette, White Mignonette",Mignonette,05/05/2020,07/23/2020,"Mignonette, Mignonette, White Mignonette",Mignonette,05/29/2020,08/16/2020,"Ornamental Grasses, Ornamental Grasses, Frosted Explosion",Ornamental Grasses,04/12/2020,08/24/2020,"Shiso, Shiso, Perilla Purple Zi Su, Full-Size",Shiso,05/11/2020,09/22/2020,"Shiso, Shiso, Perilla Purple Zi Su, Full-Size",Shiso,04/20/2020,09/01/2020,"Gypsophila (Baby's Breath), Gypsophila (Baby's Breath), Covent Garden Market",Gypsophila (Baby's Breath),05/21/2020,08/27/2020,"Gypsophila (Baby's Breath), Gypsophila (Baby's Breath), Covent Garden Market",Gypsophila (Baby's Breath),06/29/2020,10/05/2020,"Basil, Basil, Aromatto, Full-Size",Basil,06/19/2020,09/28/2020,"Basil, Basil, Mrs. Burns' Lemon, Full-Size",Basil,05/29/2020,09/04/2020,"Basil, Basil, Mrs. Burns' Lemon, Full-Size",Basil,06/19/2020,09/25/2020,"Cress, Cress, Emerald Beads, Full-Size",Cress,05/07/2020,08/19/2020,"Cress, Cress, Emerald Beads, Full-Size",Cress,06/18/2020,09/30/2020,"Cress, Cress, Wrinkled Crinkled, Full-Size",Cress,05/07/2020,07/20/2020,"Cress, Cress, Wrinkled Crinkled, Full-Size",Cress,07/09/2020,09/21/2020,"Cress, Cress, Pennycress, Full-Size",Cress,06/18/2020,08/31/2020,"Cress, Cress, Pennycress, Full-Size",Cress,07/09/2020,09/21/2020,"Amaranthus, Amaranthus, Hot Biscuits",Amaranthus,05/25/2020,08/25/2020,"Ornamental Grasses, Ornamental Grasses, Bunny Tails",Ornamental Grasses,04/12/2020,08/15/2020,,,,,,,,,,,,
