Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Dahlias,Thomas Edison (Med 6”),2020,9,0.0,,"5/7,  4 bed ft., L1 > Dah > Bed 15",9,0.0,,0.0,
Dahlias,Wizard of Oz (Sm 3”),2020,9,0.0,,"5/7,  4 bed ft., L1 > Dah > Bed 8",9,0.0,,0.0,
Dusty Miller,New Look,2020,279,0.0,,"5/6,  20 bed ft., L10 > Foliage > Bed 2",279,0.0,,0.0,
Eucalyptus,Parviflora,2020,84,0.0,oz,"4/28,  20 bed ft., L9 > Foliage > Bed 6",84,0.0,oz,0.0,
Eucalyptus,Silver Dollar,2020,84,0.0,oz,"4/27,  20 bed ft., L9 > Foliage > Bed 5",84,0.0,oz,0.0,
Geranium (scented),Scented Geranium,2020,168,0.0,oz,"4/24,  20 bed ft., L9 > Foliage > Bed 1",168,0.0,oz,0.0,
Gomphrena (Globe Amaranth),Pastel Mix,2020,140,0.02,oz,"4/24,  10 bed ft., L4 > Flower > Bed 3",140,0.02,oz,0.0,
Gomphrena (Globe Amaranth),Sunset Mix,2020,140,0.02,oz,"4/24,  10 bed ft., L4 > Flower > Bed 4",140,0.02,oz,0.0,
Gomphrena (Globe Amaranth),White,2020,140,0.02,oz,"4/24,  10 bed ft., L4 > Flower > Bed 5",140,0.02,oz,0.0,
Gypsophila (Baby's Breath),Covent Garden Market,2020,134,0.0,oz,"5/21,  10 bed ft., L8 > Filler > Bed 1",67,0.0,oz,0.0,
,,,,,,"6/29,  10 bed ft., L8 > Filler > Bed 7",67,0.0,oz,0.0,
Larkspur,White Cloud,2020,267,0.02,oz,"4/24,  40 bed ft., L6 > Filler > Bed 4",267,0.02,oz,0.0,
Mignonette,Mignonette Standard,2020,698,0.0,,"5/18,  10 bed ft., L7 > Filler > Bed 6",349,0.0,,0.0,
,,,,,,"6/9,  10 bed ft., L8 > Filler > Bed 3",349,0.0,,0.0,
Mignonette,White Mignonette,2020,1047,0.0,,"5/18,  10 bed ft., L7 > Filler > Bed 7",349,0.0,,0.0,
,,,,,,"6/9,  10 bed ft., L8 > Filler > Bed 4",349,0.0,,0.0,
,,,,,,"7/3,  10 bed ft., L8 > Filler > Bed 8",349,0.0,,0.0,
Nicandra Physalodes,Apple of Peru,2020,168,0.0,,"4/24,  20 bed ft., L9 > Foliage > Bed 4",168,0.0,,0.0,
Orlaya,White Finch,2020,280,0.12,oz,"4/24,  10 bed ft., L6 > Filler > Bed 5",140,0.06,oz,0.0,
,,,,,,"4/24,  10 bed ft., L7 > Filler > Bed 1",140,0.06,oz,0.0,
Ornamental Grasses,Frosted Explosion,2020,280,0.0,oz,"4/27,  10 bed ft., L10 > Foliage > Bed 1",140,0.0,oz,0.0,
,,,,,,"5/18,  10 bed ft., L10 > Foliage > Bed 3",140,0.0,oz,0.0,
Ranunculus,Bridal Mix,2020,150,0.0,,"3/29,  20 bed ft., L2 > Ranu > Bed 5",150,0.0,,0.0,
Ranunculus,Pink/ White,2020,90,0.0,,"3/29,  12 bed ft., L2 > Ranu > Bed 8",90,0.0,,0.0,
Ranunculus,Purple/ White Picotee,2020,113,0.0,,"3/29,  15 bed ft., L2 > Ranu > Bed 6",113,0.0,,0.0,
Ranunculus,Red,2020,60,0.0,,"3/29,  8 bed ft., L2 > Ranu > Bed 11",60,0.0,,0.0,
Ranunculus,Romantic Mix,2020,75,0.0,,"3/29,  10 bed ft., L2 > Ranu > Bed 9",75,0.0,,0.0,
Ranunculus,Violet,2020,38,0.0,,"3/29,  5 bed ft., L2 > Ranu > Bed 7",38,0.0,,0.0,
Ranunculus,White,2020,75,0.0,,"3/29,  10 bed ft., L2 > Ranu > Bed 10",75,0.0,,0.0,
Rudbeckia (Black-Eyed Susan),Cherry Brandy,2020,56,0.0,oz,"4/11,  8 bed ft., L3 > Flower > Bed 5",56,0.0,oz,0.0,
Rudbeckia (Black-Eyed Susan),Chim Chiminee Mix,2020,56,0.0,oz,"4/11,  8 bed ft., L3 > Flower > Bed 4",56,0.0,oz,0.0,
Rudbeckia (Black-Eyed Susan),Denver Daisy Film-Coated,2020,56,0.0,oz,"4/11,  8 bed ft., L3 > Flower > Bed 6",56,0.0,oz,0.0,
Rudbeckia (Black-Eyed Susan),Macau,2020,70,0.0,oz,"4/13,  10 bed ft., L3 > Flower > Bed 9",70,0.0,oz,0.0,
Rudbeckia (Black-Eyed Susan),Prairie Sun,2020,56,0.0,oz,"4/11,  8 bed ft., L3 > Flower > Bed 7",56,0.0,oz,0.0,
Rudbeckia (Black-Eyed Susan),Sahara,2020,56,0.0,oz,"4/11,  8 bed ft., L3 > Flower > Bed 8",56,0.0,oz,0.0,
Scabiosa (Pincushion Flower),Fata Morgana,2020,0,0.0,oz,"4/30,  10 bed ft., L4 > Flower > Bed 6",0,0.0,oz,0.0,
Scabiosa (Pincushion Flower),Snowmaiden,2020,140,0.03,oz,"4/30,  10 bed ft., L4 > Flower > Bed 7",140,0.03,oz,0.0,
Shiso,Perilla Purple Zi Su,2020,280,0.02,oz,"6/8,  10 bed ft., L8 > Filler > Bed 2",140,0.01,oz,0.0,
,,,,,,"5/18,  10 bed ft., L7 > Filler > Bed 8",140,0.01,oz,0.0,
Stock,Avalanche Supreme,2020,140,0.01,oz,"4/24,  10 bed ft., L4 > Flower > Bed 1",140,0.01,oz,0.0,
Stock,Katz Formula Mix,2020,140,0.01,oz,"4/24,  10 bed ft., L4 > Flower > Bed 2",140,0.01,oz,0.0,
Talinum (fame flower),Jewels of Opar,2020,252,0.0,,"3/23,  30 bed ft., L6 > Filler > Bed 1",252,0.0,,0.0,
Zinnias,Benary's Giant Salmon Rose,2020,140,0.04,oz,"5/1,  10 bed ft., L4 > Flower > Bed 8",140,0.04,oz,0.0,
Zinnias,Lilliput Mix,2020,140,0.04,oz,"4/24,  10 bed ft., L3 > Flower > Bed 1",140,0.04,oz,0.0,
Zinnias,Lilliput Salmon,2020,140,0.04,oz,"4/24,  10 bed ft., L3 > Flower > Bed 2",140,0.04,oz,0.0,
Zinnias,Queen Lime with Blush,2020,140,0.04,oz,"5/1,  10 bed ft., L4 > Flower > Bed 9",140,0.04,oz,0.0,
Zinnias,Senora™,2020,140,0.04,oz,"4/24,  10 bed ft., L3 > Flower > Bed 3",140,0.04,oz,0.0,
